step,hand_qpos_l2,piano_state_iou,sim_keys,ref_keys,goal_keys
308,1.3068257570266724,0.0,[52],"[27, 55]","[27, 55, 57]"
309,1.3246601819992065,0.0,[52],"[27, 55, 57]","[27, 57]"
310,1.0910879373550415,0.0,[],"[27, 55, 57]","[27, 57]"
311,1.095729947090149,0.0,[],"[27, 57]","[27, 57]"
312,1.1253023147583008,0.0,"[55, 56]","[27, 57]","[27, 57]"
313,1.0556854009628296,0.0,[56],"[26, 27, 57]","[27, 57]"
314,1.1599514484405518,0.0,[],"[27, 57]","[27, 57]"
315,1.2265170812606812,0.0,[],"[27, 57]","[27, 57]"
316,1.3325634002685547,0.0,[],"[27, 57]","[27, 57]"
317,0.9387560486793518,0.0,[],"[27, 57]","[27, 57]"
318,1.1727300882339478,0.0,[],"[27, 57]","[27, 57]"
319,1.117634892463684,0.5,[57],"[27, 57]","[27, 57]"
320,1.0327479839324951,0.0,[],"[27, 57]","[27, 57]"
321,1.0066887140274048,0.0,"[23, 24]","[27, 57]","[27, 57]"
322,1.0171629190444946,0.0,[],"[27, 57]","[27, 57]"
323,1.1138263940811157,0.0,[],"[27, 57]","[27, 57]"
324,1.3541300296783447,0.0,[],"[27, 57]","[27, 57]"
325,1.327115774154663,0.0,[],"[27, 57]","[27, 57]"
326,1.6943167448043823,0.5,[57],"[27, 57]","[27, 36, 57]"
327,1.4779176712036133,1.0,[57],[57],"[27, 36, 57]"
328,1.3146623373031616,0.5,"[22, 57]",[57],"[27, 36, 57]"
329,1.4420337677001953,0.0,[],"[26, 27, 57]","[27, 36, 57]"
330,1.271497130393982,0.0,[22],"[26, 27, 57]","[27, 36, 57]"
331,1.3162723779678345,0.0,[22],"[27, 57]","[27, 36, 57]"
332,1.274309754371643,0.0,[],"[27, 36, 57]","[27, 36, 57]"
333,1.3582724332809448,0.125,"[22, 24, 29, 31, 57, 59]","[27, 36, 57]","[27, 36, 57]"
334,1.5476783514022827,0.3333333333333333,[57],"[27, 36, 57]","[27, 36, 57]"
335,1.402191162109375,0.0,[],"[27, 36, 57]","[27, 36, 57]"
336,1.4691276550292969,0.0,[],"[27, 36, 57]","[27, 36, 57]"
337,1.5057477951049805,0.0,[],"[27, 36, 57]","[27, 36, 57]"
338,1.625476598739624,0.3333333333333333,[57],"[27, 36, 57]","[27, 36, 57]"
339,1.7243341207504272,0.16666666666666666,"[53, 55, 57, 58]","[27, 36, 57]","[27, 36, 57, 58]"
340,1.6833710670471191,0.0,[55],"[27, 36, 57]","[27, 36, 58]"
341,1.6288509368896484,0.0,[],"[27, 36]","[27, 36, 58]"
342,1.369156837463379,0.0,[],"[27, 36, 56]","[27, 36, 58]"
