step,hand_qpos_l2,piano_state_iou,sim_keys,ref_keys,goal_keys
239,1.4445343017578125,0.0,[],"[29, 31, 34, 48]","[29, 31, 48]"
240,1.3172718286514282,0.0,[],"[29, 31, 48]","[29, 31, 48]"
241,1.5041072368621826,0.0,[],"[29, 31, 48]","[29, 31, 48]"
242,1.562026023864746,0.0,[],"[29, 31, 48]","[29, 31, 48]"
243,1.517734169960022,0.0,[],"[29, 31, 48]","[29, 31, 48]"
244,1.5019603967666626,0.0,[],"[29, 31, 48]","[29, 31, 48]"
245,1.5782445669174194,0.0,[],"[29, 31, 48]","[29, 31, 48]"
246,1.831462025642395,0.0,[],"[29, 31, 48]","[29, 31, 48]"
247,1.9857144355773926,0.0,[],"[29, 31, 48]","[29, 31, 48]"
248,1.8670419454574585,0.0,[],"[29, 31, 48]","[29, 31, 48]"
249,1.715206503868103,0.0,[],"[29, 31, 48]","[29, 31, 48]"
250,1.6441861391067505,0.0,[],"[29, 31, 48]","[29, 31, 48]"
251,1.308347225189209,0.0,[],"[29, 31, 48]","[29, 31, 33, 48]"
252,1.146167516708374,0.0,[],"[29, 31, 33, 48]","[29, 33, 48]"
253,1.1038459539413452,0.0,[],"[29, 33, 48]","[29, 33, 48]"
254,1.2567743062973022,0.0,[],"[29, 33, 48]","[29, 33, 48]"
255,1.2710208892822266,0.0,[],"[29, 33, 48]","[29, 33, 48]"
256,1.232655644416809,0.0,[],"[29, 33, 48]","[29, 33, 48]"
257,1.2237374782562256,0.0,[],"[29, 33, 48]","[29, 33, 48]"
258,1.238441824913025,0.0,[],"[29, 33, 48]","[29, 33, 48]"
259,1.4041388034820557,0.0,[],"[29, 33, 48]","[29, 33, 48]"
260,1.3775361776351929,0.0,[],"[29, 33, 48]","[29, 33, 48]"
261,1.51272451877594,0.0,[],"[29, 33, 48]","[29, 33, 48]"
262,1.4114131927490234,0.0,[],"[29, 33, 48]","[29, 33, 48]"
263,1.2613221406936646,0.0,[],"[29, 33, 48]","[29, 33, 48]"
264,1.4775924682617188,0.0,[],"[29, 33, 48]","[29, 36, 48]"
265,1.6290053129196167,0.0,[],"[29, 36, 48]","[29, 36, 48]"
266,1.8960469961166382,0.0,[],"[29, 36, 48]","[29, 36, 48]"
267,1.6840108633041382,0.0,[],"[29, 36, 48]","[29, 36, 48]"
268,1.674109935760498,0.0,[30],"[29, 36, 48]","[29, 36, 48]"
269,1.7004508972167969,0.0,[30],"[29, 36, 48]","[29, 36, 48]"
270,1.9123421907424927,0.0,[],"[29, 36, 48]","[29, 36, 48]"
271,1.881091833114624,0.0,[],"[29, 36, 48]","[29, 36, 48]"
272,1.751123309135437,0.0,[],"[29, 36, 48]","[29, 36, 48]"
273,1.8207937479019165,0.0,[],"[29, 36, 48]","[29, 36, 48]"
274,1.9955542087554932,0.0,[],"[29, 36, 48]","[29, 36, 48]"
275,2.0175998210906982,0.0,[],"[29, 36, 48]","[29, 36, 48]"
276,1.9478051662445068,0.0,[],"[29, 36, 48]","[29, 41, 48]"
277,1.5435876846313477,0.0,[44],"[29, 41, 48]","[41, 48]"
278,1.475547194480896,0.0,"[28, 43, 44, 50]","[41, 48]","[41, 48]"
279,1.3933796882629395,0.0,"[28, 43, 44]","[41, 48]","[41, 48]"
280,1.3984405994415283,0.0,"[43, 44]","[41, 48]","[41, 48]"
281,1.451126217842102,0.0,"[43, 44]","[41, 48]","[41, 48]"
282,1.3608051538467407,0.0,"[43, 44]","[41, 48]","[41, 48]"
283,1.4046053886413574,0.0,"[43, 44]","[41, 48]","[41, 48]"
284,1.5179280042648315,0.0,"[43, 44]","[41, 48]","[41, 48]"
285,1.5120761394500732,0.0,"[43, 44]","[41, 48]","[41, 48]"
286,1.6758791208267212,0.0,"[43, 44]","[41, 48]","[41, 48]"
287,1.8067761659622192,0.0,[44],"[41, 48]","[41, 48]"
288,1.6482998132705688,0.0,[44],"[41, 48]","[29, 41, 48]"
289,1.3489583730697632,0.0,"[43, 44]","[29, 41, 48]","[29, 41, 48]"
290,1.3072261810302734,0.0,"[43, 44]","[29, 41, 48]","[29, 41, 48]"
291,1.3607923984527588,0.0,"[43, 44]","[29, 41, 48]","[29, 41, 48]"
292,1.5304704904556274,0.0,"[43, 44]","[29, 41, 48]","[29, 41, 48]"
293,1.6607712507247925,0.0,"[43, 44]","[29, 41, 48]","[29, 41, 48]"
294,1.4992024898529053,0.0,"[43, 44]","[29, 41, 48]","[29, 41, 48]"
